hour,sun,mon,tue,wed,thu,fri,sat
00,4,7,4,5,2,7,2
01,4,4,7,5,4,2,6
02,5,6,2,4,3,2,3
03,1,4,3,1,0,4,0
04,5,3,3,4,0,4,1
05,1,1,0,1,2,2,1
06,4,3,4,3,2,1,3
07,1,7,8,6,5,1,2
08,2,4,2,1,3,7,6
09,4,3,3,13,6,5,1
10,3,5,9,7,7,7,4
11,5,10,17,11,9,6,11
12,9,11,16,11,12,14,8
13,7,18,24,24,15,17,8
14,11,24,17,21,16,19,6
15,8,14,28,24,20,19,10
16,11,21,22,25,17,9,2
17,7,16,17,16,20,10,8
18,11,14,12,10,19,14,9
19,7,11,16,13,10,7,6
20,5,3,12,11,12,5,3
21,3,10,6,7,5,4,0
22,9,1,6,1,7,5,6
23,2,5,6,4,2,5,0
